AAB	Abelag Aviation - Belgium	ABG
NTS	Cirrus Air - United States	NITE STAR
NTT	Inter Tropic Airlines - Sierra Leone	INTER-TROPIC
NTV	Air Inter Ivoire - Ivory Coast	INTER-IVOIRE
NTW	Nationwide Airlines - South Africa	NATIONWIDE
NTX	Northern Jet Management - United States	NORTAX
NUB	Nomad Aviation - Malta	VALLETTA
NUL	Aeroservicios De Nuevo Leon - Mexico	SERVICIOS NUEVOLEON
NUN	Nunasi-Central Airlines - Canada	NUNASI
NVC	Nav Canada - Canada	NAV CAN
NVG	Novogorod Air Enterprise - Russia	SADKO AVIA
NVI	Avial NV?Aviation Company - Russia	NEW AVIAL
NVJ	Fly International Airways - Tunisia	NOUVINTER
NVK	Nizhnevartovskavia - Russia	VARTOSKAVIA
NVL	Navigator Airlines - Armenia	NAVLINES
NVM	Naviera Mexicana - Mexico	NAVIERA
NVQ	Novo Air - Bangladesh	NOVO AIR
NVR	Novair - Sweden	NAVIGATOR
NVY	Royal Navy - United Kingdom	NAVY
NWD	New World Jet Corporation - United States	NEW WORLD
NWG	Airwing - Norway	NORWING
NWL	North-Wright Airways - Canada	NORTHWRIGHT
NWN	Northwinds Northern - Canada	NORTHWINDS
NWS	Nordwind Airlines - Russia	NORDLAND
NWT	Northwest Territorial Airways - Canada	TERRITORIAL
NWW	North West Airlines - Australia	HALANT
NWZ	Nationwide Airlines (Zambia) - Zambia	ZAMNAT
NXA	Air Next - Japan	BLUE-DOLPHIN
NXF	Nextflight Aviation - United States	NEXTFLIGHT
NXS	Nexus Aviation - Nigeria	NEXUS AVIATION
NXT	National Express - United States	NATIONAL FREIGHT
NYA	Nanyah Aviation - Israel	NANYAH
NYB	Belgian Navy - Belgium	BELGIAN NAVY
NYH	New York Helicopter - United States	NEW YORK
NYL	Mid Airlines - Sudan	NILE
NYS	Nyasa Express - Malawi	NYASA
NYT	Yeti Airlines - Nepal	YETI AIRLINES
NZM	Mount Cook Airlines - New Zealand	MOUNTCOOK
OAC	Oriental Airlines - Nigeria	ORIENTAL AIR
OAD	Orscom Tourist Installations Company - Egypt	ORSCOM
OAE	Omni Air International - United States	OMNI-EXPRESS
OAL	Olympic Air - Greece	OLYMPIC
OAO	Arkhangelsk 2 Aviation Division - Russia	DVINA
OAP	COAPA AIR - Mexico	COAPA
OAR	ONE AIR - Spain	BOSS AIR
OAV	Omni - Aviacao e Tecnologia - Portugal	OMNI
OAW	Helvetic Airways - Switzerland	HELVETIC
OBA	Aerobanana - Mexico	AEROBANANA
OBK	Amako Airlines - Nigeria	AMAKO AIR
OCA	Aserca Airlines - Venezuela	AROSCA
OCE	Heliocean - France	HELIOCEAN
OCN	O Air - France	O-BIRD
OCO	Ostend Air College - Belgium	AIR COLLEGE
OCS	Ocean Sky (UK) - United Kingdom	OCEANSKY
ODI	"Jonsson, H Air Taxi" - Iceland	ODINN
ODS	Odessa Airlines - Ukraine	ODESSA AIR
ODY	Odyssey International - Canada	ODYSSEY
OEA	Orient Thai Airlines - Thailand	ORIENT THAI
OEC	Christophorus Flugrettungsverein - Austria	CHRISTOPHORUS
OED	Orion Air Charter - South Africa	ORION CHARTER
OES	ART Aviation - Austria	ART AUSTRIA
OFA	Helitaxi Ofavi - Mexico	OFAVI
OFF	Challenge International Airlines - United States	CHALLENGE AIR
OGI	Aerogisa - Mexico	AEROGISA
OGJ	Bakoji Airlines Services - Nigeria	BAKO AIR
OGN	Origin Pacific Airways - New Zealand	ORIGIN
OHY	Onur Air - Turkey	ONUR AIR
OIX	Orion-x - Russia	ORIONIX
OJY	Florida Air - United States	OHJAY
OKA	Okay Airways - China	OKAYJET/奥凯
OKJ	Okada Airlines - Nigeria	OKADA AIR
OKL	Oklahoma Department of Public Safety - United States	OKLAHOMA
OKP	Okapi Airways - Democratic Republic of Congo	OKAPI
OKS	Slok Air Gambia - Gambia	SLOK GAMBIA
OKT	Soko Aviation - Spain	SOKO AIR
OLA	Overland Airways - Nigeria	OVERLAND
OLC	Solar Cargo - Venezuela	SOLARCARGO
OLE	Operadora de Lineas Ejecutivas - Mexico	OPERADORA
OLO	Soloflight - United Kingdom	SOLO
OLR	Colaéreos - Ecuador	COLAEREOS
OLT	OLT Express Germany - Germany	OLTRA
OLV	Aerolíneas Olve - Mexico	OLVE
OLX	Olimex Aerotaxi - Czech Republic	OLIMEX
OLY	Olympic Aviation - Greece	OLAVIA
OMA	Oman Air - Oman	OMAN AIR
OMF	Omniflys - Mexico	OMNIFLYS
OMG	Aeromega - United Kingdom	OMEGA
OML	Organizacoes Mambra - Angola	MAMBRA
OMN	Servicios Aereos Ominia - Mexico	SERVIOMNIA
OMR	Minair - Central African Republic	ORMINE
OMS	Omskavia Airline - Russia	OMSK
ONE	Avianca Brazil - Brazil	OCEANAIR
ONG	Sonnig SA - Switzerland	SONNIG
ONT	Air Ontario - Canada	ONTARIO
OOT	Out Of The Blue Air Safaris - South Africa	OOTBAS
OPC	Krystel Air Charter - United Kingdom	OPTIC
OPS	Jet-Ops - United Arab Emirates	OPS-JET
OPT	Flight Options - United States	OPTIONS
OPV	Operadora de Veulos Ejectutivos - Mexico	OPERADORA DE VUELOS
ORA	Long Island Airlines - United States	LONG ISLAND
ORB	Orenburg Airlines - Russia	ORENBURG
ORD	Orange Air Services - Sierra Leone	ORANGE SERVICES
ORE	Orange Aviation - Israel	ORANGE AVIATION
ORF	Oman Royal Flight - Oman	OMAN
ORJ	Orange Air Sierra Leone - Sierra Leone	ORANGE SIERRA
ORK	Orca Air - Egypt	ORCA TAXI
ORL	On Air Limited - Canada	ON AIR
ORM	Orel State Air Enterprise - Russia	ORPRISE
ORN	Orange Air - United States	ORANGE JET
ORN	Orient Airways - Pakistan	ORIENT LINER
ORO	C N Air - Spain	CAPRI
ORR	Operadora Turistica Aurora - Mexico	TURISTICA AURORA
ORX	Orbit Express Airlines - Turkey	OREX
ORZ	Zorex - Spain	ZOREX
OSH	Osh Avia - Kyrgyzstan	OSH AVIA
OSL	Sosoliso Airlines - Nigeria	SOSOLISO
OSN	Aerosan - Mexico	AEROSAN
OSS	Servicios Aéreos Noticiosos - Mexico	NOTICIOSOS
OST	Airline Alania - Russia	ALANIA
OSW	JetAfrica Swaziland - Swaziland	BEVO
OSY	Open Skies Consultative Commission - United States	OPEN SKIES
OTA	Business Aviators - United States	OUTLAW
OTA	Organizacion De Transportes Aéreos - Mexico	ORGANIZACION
OTC	Air Travel - China	AIR TRAVEL/乐程
OTG	One Two Go Airlines - Thailand	THAI EXPRESS
OTL	South Airlines - Ukraine	SOUTHLINE
OTM	Onetime Airlines Zambia - Zambia	ZEDTIME
OTN	LASTP - S?o Tomé and Príncipe	LASTP
OTP	Operadora de Transportes Aéreos - Mexico	OPERADORA AEREO
OTR	Orient Airlines - Sudan	ORIENTROC
OTT	OTT Airlines - China	OTT AIRLINES/齐嘉
OVA	Aero Nova - Spain	AERONOVA
OVE	Aeromover - Mexico	AEROMOVER
OVI	Aerovías Ejecutivas - Mexico	VIAS EJECUTIVAS
OVV	Orient Air - Syrian Arab Republic	ORIENTSYR
OWE	Owenair - South Africa	OWENAIR
OWL	Miami Valley Aviation - United States	NIGHT OWL
OWN	Aero Owen - Mexico	AERO OWEN
OXE	Oxaero - United Kingdom	OXOE
OXO	Million Air - United States	MILL AIR
OYE	Koda International - Nigeria	KODA AIR
OZJ	Ozjet Airlines - Australia	AUSJET
OZU	Hozu-Avia - Kazakhstan	HOZAVIA
OZW	Skywest Airlines - Australia	OZWEST
PAA	Pan American World Airways - United States	CLIPPER
PAB	Pacific Air Boats - Canada	AIR BOATS
PAC	Polar Air Cargo - United States	POLAR
PAD	Professional Express Courier Service - United States	AIR PROFESSIONAL
PAE	Paisajes Espa?oles - Spain	PAISAJES
PAG	Perimeter Aviation - Canada	PERIMETER
PAH	Panorama Air Tour - United States	LANI
PAI	Paradise Airways - United States	SEA RAY
PAJ	Aliparma - Italy	ALIPARMA
PAK	Pacific Alaska Airlines - United States	PACIFIC ALASKA
PAL	Philippine Airlines - Philippines	PHILIPPINE
PAM	Phoenix Air - Germany	PHOENIX
PAO	Polynesian Airlines - Samoa	POLYNESIAN
PAP	Langtry Flying Group - United Kingdom	PROFLIGHT
PAQ	Pacific Air Express - Solomon Islands	SOLPAC
PAR	Pacific Rim Airways - Australia	PACRIM
PAS	Pelita Air Service - Indonesia	PELITA
PAT	Priority Air Transport - United States	PAT
PAV	VIP Avia - Kazakhstan	NICOL
PAW	Pointair Burkina - Burkina Faso	POINTAIR BURKINA
PAZ	Point Afrique Niger - Niger	POINTAIR NIGER
PBA	PB Air - Thailand	PEEBEE AIR
PBB	Polizeihubschrauberstaffel Brandenburg - Germany	ADEBAR
PBN	Pacific Blue - New Zealand	BLUEBIRD
PBR	Fast Air - Canada	POLAR BEAR
PBT	Air Parabet - Bangladesh	PARABET
PBU	Air Burundi - Burundi	AIR-BURUNDI
PBW	Polizeihubschrauberstaffel Baden-Württemberg - Germany	BUSSARD
PBY	Pearl Air Services - Uganda	PEARL SERVICES
PCA	Penya De L'Aire - Spain	PENA DEL AIRE
PCC	Perforadora Central - Mexico	PERFORADORA CENTRAL
PCE	Pace Airlines - United States	PACE
PCG	Aeropostal Cargo de Mexico - Mexico	POSTAL CARGO
PCH	Pilatus Flugzeugwerke - Switzerland	PILATUS WINGS
PCJ	Pacific Jet - United States	PACIFIC JET
PCK	Air Pack Express - Spain	AIRPACK EXPRESS
PCL	Pinnacle Air Group - United States	PINNACLE GROUP
PCM	Westair Industries - United States	PAC VALLEY
PCN	Princeton Aviation Corporation - United States	PRINCETON
PCO	Pacific Coastal Airlines - Canada	PASCO
PCP	Aerolínea Principal Chile - Chile	PRINCIPAL
PCR	PAC Air - United States	PACAIR
PCS	Air Palace - Mexico	AIR PALACE
PCV	Pacific Aviation (Australia) - Australia	PACAV
PCW	Trans-Pacific Orient Airways - Philippines	PACIFIC ORIENT
PDA	Podilia-Avia - Ukraine	PODILIA
PDC	Potomac Air - United States	DISTRICT
PDD	Phillips Alaska - United States	PADA
PDF	Pelican Air Services - South Africa	PELICAN AIRWAYS
PDG	PLM Dollar Group - United Kingdom	OSPREY
PDI	Paradise Island Airways - United States	PARADISE ISLAND
PDQ	PDQ Air Charter - United States	DISPATCH
PDR	COMAV - Namibia	SPEEDSTER
PDT	Piedmont Airlines - United States	PIEDMONT
PDV	Elicar - Italy	ELICAR
PDY	Pen-Avia - United Kingdom	PENDLEY
PEB	Benders Air - Sweden	PALEMA
PEC	Pacific East Asia Cargo Airlines - Philippines	PAC-EAST CARGO
PEI	Panamedia - Spain	PANAMEDIA
PEL	Aeropelican Air Services - Australia	PELICAN
PEM	Pem-Air - Canada	PEM-AIR
PEN	Peninsula Airways - United States	PENINSULA
PEO	Petro Air - Libya	PETRO AIR
PET	Aerotransporte Petrolero - Colombia	AEROPETRO
PEV	Peoples Vienna Line - Austria	PEOPLES
PEV	People's Viennaline - Switzerland	PEOPLES
PEX	Pelican Express - United States	PELICAN EXPRESS
PFA	Pacific Flight Services - Singapore	PACIFIC SING
PFI	Aerolíneas Chihuahua - Mexico	PACIFICO CHIHUAHUA
PFN	Pan African Air Services - Sierra Leone	PANAFRICAN
PFR	Pacificair Airlines - United States	PACIFIC WEST
PFS	Prairie Flying Service - United States	PRAIRIE
PFT	Air Cargo Express International - United States	PROFREIGHT
PFY	Pel-Air Aviation - Australia	PELFLIGHT
PFZ	Proflight Zambia - Zambia	PROFLIGHT-ZAMBIA
PGA	Portugalia - Portugal	PORTUGALIA
PGI	Panagra Airways - United States	PANAGRA
PGL	Premiair Aviation Services - United Kingdom	PREMIERE
PGP	Perm Airlines - Russia	PERM AIR
PGT	Pegasus Airlines - Turkey	SUNTURK
PGX	Paragon Air Express - United States	PARAGON EXPRESS
PHA	Phoenix Air Group - United States	GRAY BIRD
PHB	Phoebus Apollo Aviation - South Africa	PHOEBUS
PHC	Petroleum Helicopters de Colombia - Colombia	HELICOPTERS
PHD	Duncan Aviation - United States	PANHANDLE
PHE	Pawan Hans - India	PAWAN HANS
PHG	Phoenix Aviation - Kyrgyzstan	PHOENIX GROUP
PHH	Polizeihubschrauberstaffel Hessen - Germany	IBIS
PHI	Philips Aviation Services - Netherlands	PHILAIR
PHL	Phillips Michigan City Flying Service - United States	PHILLIPS
PHM	Petroleum Helicopters - United States	PETROLEUM
PHN	Phoenix Air Lines - Brazil	PHOENIX BRASIL
PHO	L&L Flygbildteknik - Sweden	PHOTOFLIGHT
PHR	Al Farana Airline - Egypt	PHARAOH
PHS	Polizeihubschrauberstaffel Sachsen - Germany	PASSAT
PHT	Pan Havacilik Ve Ticaret - Turkey	PANANK
PHU	Pannon Air Service - Hungary	PANNON
PHV	Phenix Aviation - France	NEW BIRD
PHY	Phoenix Avia - Armenia	PHOENIX ARMENIA
PIA	Pakistan International Airlines - Pakistan	PAKISTAN
PIC	Pacific Airlines - Vietnam	PACIFIC AIRLINES
PIE	Air South West - United Kingdom	PIRATE
PIF	Aeroservicios California Pacifico - Mexico	AEROCALPA
PIK	Polizeihubschrauberstaffel Sachsen-Anhalt - Germany	POLICE IKARUS
PIL	Canada Jet Charters - Canada	PINNACLE
PIM	Pinframat - Angola	PINFRAMAT
PIN	Pacific International Airlines - United States	ROAD RUNNERS
PIO	Pioneer Airlines - United States	PIONEER
PIR	Pamir Airways - Afghanistan	PAMIR
PIU	43 Air School - South Africa	PRIMA
PIV	Sokol - Russia	AEROSOKOL
PIX	Metropix UK - United Kingdom	METROPIX
PJA	Private Jet Management - United States	PRIVATE FLIGHT
PJE	Private Jet Expeditions - United States	PEE JAY
PJP	Princely Jets - Pakistan	PRINCELY JETS
PJS	Jet Aviation - Switzerland	JETAVIATION
PKA	AST Pakistan Airways - Pakistan	PAKISTAN AIRWAY
PKP	Mountain Air Express - United States	PIKES PEAK
PKR	Pakker Avio - Estonia	PAKKER AVIO
PKW	Pak West Airlines - United States	PLATINUM WEST
PKZ	Prime Aviation - Kazakhstan	PRAVI
PLA	Polynesian Air-Ways - United States	POLYAIR
PLB	Polynesian Blue - New Zealand	POLYBLUE
PLC	Police Aviation Services - United Kingdom	SPECIAL
PLF	Polish Air Force - Poland	POLISH AIRFORCE
PLG	MBK-S - Russia	PILGRIM
PLL	Air Pal - Spain	AIRPAL
PLM	Air Pullmantur - Spain	PULLMANTUR
PLN	Planar - Angola	PLANAR
PLR	Northwestern Air - Canada	POLARIS
PLS	Aeroflot-Plus - Russia	AEROPLUS
PLT	South Carolina Aeronautics Commission - United States	PALMETTO
PLU	Pilatus PC-12 Center De Mexico - Mexico	PILATUS MEXICO
PLX	Pool Aviation - United Kingdom	POOLEX
PLY	Puma Linhas Aéreas - Brazil	PUMA BRASIL
PLZ	Planet Airways - United States	PLANET
PMA	Pan Malaysian Air Transport - Malaysia	PAN MALAYSIA
PMC	Primas Courier - United States	PRIMAC
PME	Premiair Fliyng Club - United Kingdom	ADUR
PMI	Primero Transportes Aereos - Mexico	AEROEPRIM
PMM	Primair - Russia	PRIMAVIA
PMO	Polar Airlines de Mexico - Mexico	POLAR MEXICO
PMR	Servicios Aéreos Premier - Mexico	SERVICIOS PREMIER
PMS	Planemaster Services - United States	PLANEMASTER
PMT	PMTair - Cambodia	MULTITRADE
PMU	Premium Aviation - Germany	PREMIUM
PMV	Polizeihubschrauberstaffel Mecklenburg-Vorpommern - Germany	POLICE MERLIN
PMW	Paramount Airways - India	PARAWAY
PMX	Petroleos Mexicanos - Mexico	PEMEX
PMY	Phetchabun Airline - Thailand	PHETCHABUN AIR
PNA	Palau National Airlines - Palau	SEBUS
PNC	Pan-Air - Mexico	PANAIRSA
PNC	Prince Aviation - Serbia	PRINCE
PND	Pond Air Express - United States	POND AIR
PNE	Peninter Aérea - Mexico	PENINTER
PNH	Panh - Russia	KUBAN LIK
PNK	Air Pink - Serbia	AIRPINK
PNL	Aero Personal - Mexico	AEROPERSONAL
PNM	Panorama - Spain	PANORAMA
PNP	Pineapple Air - Bahamas	PINEAPPLE AIR
PNR	PAN Air - Spain	SKYJET
PNS	Survey Udara (Penas) - Indonesia	PENAS
PNT	Balmoral Central Contracts - South Africa	PORTNET
PNU	Aero Servicios Platinum - Mexico	AERO PLATINUM
PNW	Palestinian Airlines - Egypt	PALESTINIAN
PNX	Imperial Airways - United States	PHOENIX
PNY	Polish Navy - Poland	POLISH NAVY
POA	Portuguese Army - Portugal	PORTUGUESE ARMY
POB	Servicios Aéreos Poblanos - Mexico	POBLANOS
POC	Pocono Air Lines - United States	POCONO
POE	Porter Airlines - Canada	PORTER
POF	Police Aux Frontiers - France	AIRPOL
POI	BGB Air - Kazakhstan	BOJBAN
PON	Portuguese Navy - Portugal	PORTUGUESE NAVY
POR	Porteadora De Cosola - Mexico	PORTEADORA
POT	Polet Airlines - Russia	POLET
POV	Meridian - Ukraine	AIR POLTAVA
POW	Hagondale Limited - United Kingdom	AIRNET
POY	Apoyo Aéreo - Mexico	APOYO AEREO
PPA	Propheter Aviation - United States	AIR PROP
PPC	Palau Asia Pacific Airlines - Palau	PALAU ASIAPAC
PPG	Phoenix Air Transport - United States	PAPAGO
PPH	Polizeihubschrauberstaffel Niedersachsen - Germany	POLICE PHOENIX
PPK	Ramp 66 - United States	PELICAN
PPM	Pacific Pearl Airways - Philippines	PACIFIC PEARL
PPQ	Personas Y Pasquetes Por Air - Mexico	PERSONSPAQ
PPS	Butte Aviation - United States	PIPESTONE
PPW	Royal Phnom Penh Airways - Cambodia	PHNOM-PENH AIR
PQA	Pacific Coast Airlines - United States	SAGE BRUSH
PRA	Pars Aviation Service - Iran	PARSAVIA
PRC	Pacific Air Charter - United States	PACIFIC CHARTER
PRD	Presidential Aviation - United States	PRESIDENTIAL
PRE	Precision Airlines - United States	PRECISION
PRF	Precision Air - Tanzania	PRECISION AIR
PRG	Empresa Aero-Servicios Parrague - Chile	ASPAR
PRH	Pro Air - United States	PROHAWK
PRI	Aerotransportes Privados - Mexico	AEROPRIV
PRL	Pearl Air - Pakistan	PEARL LINE
PRM	Prime Airlines - United States	PRIME AIR
PRN	Pirinair Express - Spain	PRINAIR EXPRESS
PRO	Propair - Canada	PROPAIR
PRP	PRT Aviation - Spain	PRONTO
PRR	Paramount Airlines - Sierra Leone	PARAMOUNT
PRT	Atlantic Coast Jet - United States	PATRIOT
PRT	Prime Service Italia - Italy	PRIME ITALIA
PRV	Provincial Express - Canada	PROVINCIAL
PRY	Priority Air Charter - United States	PRIORITY AIR
PSA	Pacific Island Aviation - United States	PACIFIC ISLE
PSC	Pascan Aviation - Canada	PASCAN
PSE	Aeroservicio Sipse - Mexico	SIPSE
PSF	Plymouth School of Flying - United Kingdom	LIZARD
PSG	Aviones Para Servirle - Mexico	SERVIAVIONES
PSH	Red Aviation - United Kingdom	PASSION
PSI	Pont International Airline Services - Suriname	PONT
PSL	Aeroservicios Corporativos De San Luis - Mexico	CORSAN
PSN	Potosina Del Aire - Mexico	POTOSINA
PSO	Aerotaxis Pegaso - Mexico	AEROPEGASO
PSP	Publiservicios Aéreos - Mexico	PUBLISERVICIOS
PSR	Polestar Aviation - United Kingdom	POLESTAR
PSS	TSSKB-Progress - Russia	PROGRESS
PST	Parsa - Panama	TURISMO REGIONAL
PSV	Servicios Aéreos Profesionales - Dominican Republic	PROSERVICIOS
PSW	Pskovavia - Russia	PSKOVAVIA
PSZ	Pro Air Service - United States	POP-AIR
PTA	Ptarmigan Airways - Canada	PTARMIGAN
PTB	Passaredo Transportes Aéreos - Brazil	PASSAREDO
PTC	Patria Cargas Aéreas - Argentina	PATRIA
PTD	Aero Servicio Pity - Mexico	PITY
PTE	Aero Copter - Mexico	AERO-COP
PTH	Proteus Helicopteres - France	PROTEUS
PTI	Privatair - Switzerland	PRIVATAIR
PTK	Petropavlovsk-Kamchatsk Air Enterprise - Russia	PETROKAM
PTL	Providence Airline - United States	PLANTATION
PTM	Southeastern Airways - United States	POSTMAN
PTN	Pantanal Linhas Aéreas - Brazil	PANTANAL
PTO	North West Geomatics - Canada	PHOTO
PTP	Palau Trans Pacific Airlines - Palau	TRANS PACIFIC
PTQ	Port Townsend Airways - United States	TOWNSEND
PTR	Nova Scotia Department of Lands and Forests - Canada	PATROL
PTS	Points of Call Airlines - Canada	POINTSCALL
PTT	Promotora Industria Totolapa - Mexico	TOTOLAPA
PTV	Puntavia Air Services - Djibouti	PUNTAVIA
PTY	Petty Transport - United States	PETTY
PUA	PLUNA - Uruguay	PLUNA
PUE	Aeropuelche - Chile	PUELCHE
PUR	Spurwing Airlines - South Africa	SPURWING
PUV	Publivoo - Portugal	PUBLIVOO
PVG	Privilege Style Líneas Aéreas - Spain	PRIVILEGE
PVL	Professione VOlare - Italy	VOLARE
PVO	Bearing Supplies Limited - United Kingdom	PROVOST
PVU	Peau Vava?u - Tonga	PEAU
PVV	Continental Airways - Russia	CONTAIR
PWA	Priester Aviation - United States	PRIESTER
PWC	Pratt and Whitney Canada - Canada	PRATT
PWF	Private Wings Flugcharter - Germany	PRIVATE WINGS
PWL	Powell Air - Canada	POWELL AIR
PXA	Pecotox Air - Moldova	PECOTOX
PXP	Pacific Air Transport - United States	PAK EXPRESS
PXR	Pixair Survey - France	PIXAIR
PXT	Pacific Coast Jet - United States	PACK COAST
PXX	Aroostook Aviation - United States	PINE STATE
PYC	Aeropycsa - Mexico	AEROPYCSA
PYN	Haverfordwest Air Charter Services - United Kingdom	POYSTON
PYR	Pyramid Air Lines - Egypt	PYAIR
PYZ	Players Air - United States	PLAYERS AIR
PZA	Aéreo Taxi Paraza - Mexico	AEREO PARAZA
PZR	Sky Trek International Airlines - United States	PHAZER
PZY	Zapolyarye Airline Company - Russia	ZAPOLYARYE
QAC	Qatar Air Cargo - Qatar	QATAR CARGO
QAF	Qatar Amiri Flight - Qatar	AMIRI
QAH	Quick Airways Holland - Netherlands	QUICK
QAI	Conquest Air - United States	CHICKPEA
QAJ	Quick Air Jet Charter - Germany	DAGOBERT
QAQ	Qurinea Air Service - Libya	QURINEA AIR
QAS	Quisqueya Airlines - Haiti	QUISQUEYA
QCC	Qwest Commuter Corporation - United States	QWEST AIR
QCL	Air Class Líneas Aéreas - Uruguay	ACLA
QDA	Qingdao Airlines - China	SKY LEGEND/胶澳
QFA	Qantas - Australia	QANTAS
QGA	Windrose Air - Germany	QUADRIGA
QID	USAF 100th Air Refueling Wing - United States	QUID
QJE	Qantaslink - Australia	QJET
QKC	Aero Taxi Aviation - United States	QUAKER CITY
QLA	Aviation Quebec Labrador - Canada	QUEBEC LABRADOR
QNA	Queen Air - Dominican Republic	QUEEN AIR
QNK	Kabo Air - Nigeria	KABO
QNT	Qanot Sharq - Uzbekistan	QANAT SHARQ
QNZ	Jetconnect - New Zealand	QANTAS JETCONNECT
QSC	African Safari Airways - Kenya	ZEBRA
QSR	SR Jet - China	SPARKLE ROLL/耀莱
QTR	Qatar Airways - Qatar	QATARI
QTX	Quantex Environmental - Canada	AIR QUANTEX
QUE	Quebec Government Air Service - Canada	QUEBEC
QUI	Aero Quimmco - Mexico	QUIMMCO
QVR	Kvadro Aero - Kyrgyzstan	PEGASO
QWL	Qwila Air - South Africa	Q-CHARTER
QXE	Horizon Air - United States	HORIZON AIR
RAA	Rynes Aviation - United States	RYNES AVIATION
RAC	Icar Air - Bosnia and Herzegovina	TUZLA AIR
RAD	Alada - Angola	AIR ALADA
RAE	Régional Compagnie Aérienne Européenne - France	REGIONAL EUROPE
RAF	Farnas Aviation Services - Sudan	FARNAS
RAG	Regio Air - Germany	GERMAN LINK
RAG	Xstrata Nickel?(Raglan Mine) - Canada	RAGLAN
RAH	Regent Air - Canada	REGENT
RAI	Aerotur Air - Kazakhstan	DIASA
RAJ	Raji Airlines - Pakistan	RAJI
RAK	Riga Airclub - Latvia	SPORT CLUB
RAL	Roswell Airlines - United States	ROSWELL
RAM	Royal Air Maroc - Morocco	ROYALAIR MAROC
RAN	Renan - Moldova	RENAN
RAP	Air Center Helicopters - United States	RAPTOR
RAQ	Rath Aviation - Austria	RATH AVIATION
RAR	Air Rarotonga - Cook Islands	AIR RAROTONGA
RAS	Jim Ratliff Air Service - United States	SHANHIL
RAT	Chief Rat Flight Services - South Africa	RIVERRAT
RAU	Uganda Royal Airways - Uganda	UGANDA ROYAL
RAV	Reed Aviation - United Kingdom	REED AVIATION
RAX	Royal Air Freight - United States	AIR ROYAL
RAZ	Rijnmond Air Services - Netherlands	RIJNMOND
RBA	Royal Brunei Airlines - Brunei	BRUNEI
RBB	Rabbit-Air - Switzerland	RABBIT
RBC	Republicair - Mexico	REPUBLICAIR
RBD	Trans World Express - United States	RED BIRD
RBE	Aur Rum Benin - Benin	RUM BENIN
RBH	Regal Bahamas International Airways - Bahamas	CALYPSO
RBJ	Aeroserivios Del Bajio - Mexico	AEROBAJIO
RBN	Red Baron Aviation - United States	RED BARON
RBR	Siam Airnet - Thailand	SIAM AIRNET
RBT	Robinton Aero - Dominican Republic	ROBIN
RBU	Airbus France - France	AIRBUS FRANCE
RBV	Air Roberval - Canada	AIR ROBERVAL
RBW	Shandong Airlines Rainbow Jet - China	RAINBOW/彩虹
RBX	Arubaexel - Aruba	ARUBA
RCA	Richland Aviation - United States	RICHLAND
RCB	Real Aero Club De Baleares - Spain	BALEARES
RCC	Air Charters Eelde - Netherlands	RACER
RCD	Real Aeroclub De Ternerife - Spain	AEROCLUB
RCE	Aerocer - Mexico	AEROCER
RCF	Aeroflot-Cargo - Russia	AEROFLOT-CARGO
RCG	Royal Air Cargo - South Africa	ROYAL CARGO
RCH	Air Mobility Command - United States	REACH
RCI	Air Cassai - Angola	AIR CASSAI
RCJ	Raytheon Corporate Jets - United Kingdom	NEWPIN
RCK	Faroejet - Faroe Islands	ROCKROSE
RCO	Aero Renta De Coahuila - Mexico	AEROCOAHUILA
RCP	Aerocorp - Mexico	AEROCORPSA
RCQ	Aerolíneas Regionales - Mexico	REGIONAL CARGO
RCT	Ryan Air Service - United States	ARCTIC TRANSPORT
RCT	Skyview Airways - THAILAND	GREENSKY
RCU	Atlantic S.L. - Spain	AIR COURIER
RCX	Air Service Center - Italy	SERVICE CENTER
RCY	Package Express - United States	RACE CITY
RDE	II Lione Alato Arl - United Kingdom	FLIGHT RED
